form,data
автодороги,"автодорога,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
на,"на,ADP,None"
берегу,"берег,NOUN,Inan,Loc,Masc,Sing"
реки,"река,NOUN,Inan,Gen,Fem,Sing"
Великая,"великий,ADJ,Nom,Pos,Fem,Sing"
.,".,PUNCT,None"
Фрэ́нсис,"Фрэнсис,PROPN,Anim,Nom,Fem,Sing"
Бэй,"Бэй,PROPN,Anim,Nom,Fem,Sing"
(,"(,PUNCT,None"
),"),PUNCT,None"
",",",,PUNCT,None"
в,"в,ADP,None"
девичестве,"девичество,NOUN,Inan,Loc,Neut,Sing"
--,"--,PUNCT,None"
Го́ффман,"Гоффман,PROPN,Anim,Nom,Fem,Sing"
(,"(,PUNCT,None"
;,";,PUNCT,None"
23,"23,ADJ,Nom,Pos,Neut,Sing"
января,"январь,NOUN,Inan,Gen,Masc,Sing"
1919,"1919,ADJ,Gen,Pos,Masc,Sing"
``,"``,PUNCT,None"
Альберта,"Альберта,PROPN,Inan,Nom,Fem,Sing"
",",",,PUNCT,None"
Канада,"Канада,PROPN,Inan,Nom,Fem,Sing"
--,"--,PUNCT,None"
15,"15,ADJ,Nom,Pos,Neut,Sing"
сентября,"сентябрь,NOUN,Inan,Gen,Masc,Sing"
2011,"2011,ADJ,Gen,Pos,Masc,Sing"
``,"``,PUNCT,None"
Лос-Анджелес,"Лос-Анджелес,PROPN,Inan,Nom,Masc,Sing"
",",",,PUNCT,None"
Калифорния,"Калифорния,PROPN,Inan,Nom,Fem,Sing"
",",",,PUNCT,None"
США,"США,PROPN,Inan,Nom,Masc,Plur"
),"),PUNCT,None"
--,"--,PUNCT,None"
канадо-американская,"канадо-американский,ADJ,Nom,Pos,Fem,Sing"
актриса,"актриса,NOUN,Anim,Nom,Fem,Sing"
.,".,PUNCT,None"
Вартислав,"Вартислав,PROPN,Anim,Nom,Masc,Sing"
был,"быть,AUX,Imp,Masc,Ind,Sing,Past,Fin"
убит,"убить,VERB,Anim,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
между,"между,ADP,None"
1135,"1135,ADJ,Ins,Pos,Masc,Sing"
и,"и,CCONJ,None"
1148,"1148,ADJ,Ins,Pos,Masc,Sing"
годами,"год,NOUN,Inan,Ins,Masc,Plur"
",",",,PUNCT,None"
ему,"он,PRON,Dat,Masc,Sing,3"
наследовал,"наследовать,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
брат,"брат,NOUN,Anim,Nom,Masc,Sing"
Ратибор,"Ратибор,PROPN,Anim,Nom,Masc,Sing"
.,".,PUNCT,None"
``,"``,PUNCT,None"
Венера,"Венера,PROPN,Inan,Nom,Fem,Sing"
-,"-,PUNCT,None"
6,"6,NUM,None"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
--,"--,PUNCT,None"
советская,"советский,ADJ,Nom,Pos,Fem,Sing"
автоматическая,"автоматический,ADJ,Nom,Pos,Fem,Sing"
научно-исследовательская,"научно-исследовательский,ADJ,Nom,Pos,Fem,Sing"
космическая,"космический,ADJ,Nom,Pos,Fem,Sing"
станция,"станция,NOUN,Inan,Nom,Fem,Sing"
.,".,PUNCT,None"
Фридрих,"Фридрих,PROPN,Anim,Nom,Masc,Sing"
был,"быть,AUX,Imp,Masc,Ind,Sing,Past,Fin"
сыном,"сын,NOUN,Anim,Ins,Masc,Sing"
прусского,"прусский,ADJ,Gen,Pos,Masc,Sing"
кронпринца,"кронпринц,NOUN,Anim,Gen,Masc,Sing"
Вильгельма,"Вильгельм,PROPN,Anim,Gen,Masc,Sing"
и,"и,CCONJ,None"
его,"его,DET,None"
супруги,"супруга,NOUN,Anim,Gen,Fem,Sing"
Августы,"Августа,PROPN,Anim,Gen,Fem,Sing"
Саксен,"Саксен,PROPN,Anim,Gen,Fem,Sing"
-,"-,PUNCT,None"
Веймарской,"веймарский,ADJ,Gen,Pos,Fem,Sing"
и,"и,CCONJ,None"
являлся,"являться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
вторым,"второй,ADJ,Ins,Pos,Masc,Sing"
в,"в,ADP,None"
линии,"линия,NOUN,Inan,Loc,Fem,Sing"
наследования,"наследование,NOUN,Inan,Gen,Neut,Sing"
трона,"трон,NOUN,Inan,Gen,Masc,Sing"
Пруссии,"Пруссия,PROPN,Inan,Gen,Fem,Sing"
вслед,"вслед,ADV,Pos"
за,"за,ADP,None"
отцом,"отец,NOUN,Anim,Ins,Masc,Sing"
.,".,PUNCT,None"
После,"после,ADP,None"
свержения,"свержение,NOUN,Inan,Gen,Neut,Sing"
во,"во,ADP,None"
Франции,"Франция,PROPN,Inan,Loc,Fem,Sing"
правительства,"правительство,NOUN,Inan,Gen,Neut,Sing"
Виши,"Виши,PROPN,Inan,Gen,Masc,Sing"
ношение,"ношение,NOUN,Inan,Nom,Neut,Sing"
этого,"этот,DET,Gen,Masc,Sing"
Военного,"военный,ADJ,Gen,Pos,Masc,Sing"
креста,"крест,NOUN,Inan,Gen,Masc,Sing"
было,"быть,AUX,Imp,Neut,Ind,Sing,Past,Fin"
запрещено,"запретить,VERB,Inan,Perf,Nom,Neut,Sing,Past,Short,Part,Pass"
(,"(,PUNCT,None"
с,"с,ADP,None"
7,"7,ADJ,Gen,Pos,Neut,Sing"
января,"январь,NOUN,Inan,Gen,Masc,Sing"
1944,"1944,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
),"),PUNCT,None"
.,".,PUNCT,None"
Яков,"Яков,PROPN,Anim,Nom,Masc,Sing"
Андреевич,"Андреевич,PROPN,Anim,Nom,Masc,Sing"
",",",,PUNCT,None"
родоначальник,"родоначальник,NOUN,Anim,Nom,Masc,Sing"
Всеволожских,"Всеволожский,PROPN,Anim,Gen,Masc,Plur"
последующего,"последующий,ADJ,Gen,Pos,Neut,Sing"
времени,"время,NOUN,Inan,Gen,Neut,Sing"
",",",,PUNCT,None"
служил,"служить,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
стольником,"стольник,NOUN,Anim,Ins,Masc,Sing"
и,"и,CCONJ,None"
участвовал,"участвовать,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
в,"в,ADP,None"
крымском,"крымский,ADJ,Loc,Pos,Masc,Sing"
походе,"поход,NOUN,Inan,Loc,Masc,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
котором,"который,PRON,Inan,Loc,Masc,Sing"
и,"и,PART,None"
умер,"умереть,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
в,"в,ADP,None"
1689,"1689,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
Согласно,"согласно,ADP,None"
указанному,"указанный,ADJ,Dat,Pos,Masc,Sing"
закону,"закон,NOUN,Inan,Dat,Masc,Sing"
первые,"первый,ADJ,Nom,Pos,Plur"
выборы,"выборы,NOUN,Inan,Nom,Masc,Plur"
высших,"высший,ADJ,Gen,Pos,Plur"
должностных,"должностной,ADJ,Gen,Pos,Plur"
лиц,"лицо,NOUN,Anim,Gen,Masc,Plur"
должны,"должен,ADJ,Pos,Plur,Short"
были,"быть,AUX,Imp,Ind,Plur,Past,Fin"
состояться,"состояться,VERB,Perf,Inf,Mid"
14,"14,ADJ,Gen,Pos,Neut,Sing"
октября,"октябрь,NOUN,Inan,Gen,Masc,Sing"
2012,"2012,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
в,"в,ADP,None"
тех,"тот,DET,Loc,Plur"
субъектах,"субъект,NOUN,Inan,Loc,Masc,Plur"
Российской,"российский,ADJ,Gen,Pos,Fem,Sing"
Федерации,"федерация,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
где,"где,ADV,None"
срок,"срок,NOUN,Inan,Nom,Masc,Sing"
истечения,"истечение,NOUN,Inan,Gen,Neut,Sing"
полномочий,"полномочие,NOUN,Inan,Gen,Neut,Plur"
действующих,"действовать,VERB,Anim,Imp,Gen,Plur,Pres,Part,Act"
высших,"высший,ADJ,Gen,Pos,Plur"
должностных,"должностной,ADJ,Gen,Pos,Plur"
лиц,"лицо,NOUN,Anim,Gen,Masc,Plur"
истекает,"истекать,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
с,"с,ADP,None"
1,"1,ADJ,Gen,Pos,Neut,Sing"
июня,"июнь,NOUN,Inan,Gen,Masc,Sing"
по,"по,ADP,None"
31,"31,ADJ,Acc,Pos,Neut,Sing"
декабря,"декабрь,NOUN,Inan,Gen,Masc,Sing"
2012,"2012,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
Гайтукаев,"Гайтукаев,PROPN,Anim,Nom,Masc,Sing"
познакомился,"познакомиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
с,"с,ADP,None"
сотрудником,"сотрудник,NOUN,Anim,Ins,Masc,Sing"
Восточно-Сибирского,"восточно-сибирский,ADJ,Gen,Pos,Masc,Sing"
банка,"банк,NOUN,Inan,Gen,Masc,Sing"
Владимиром,"Владимир,PROPN,Anim,Ins,Masc,Sing"
Новиковым,"Новиков,PROPN,Anim,Ins,Masc,Sing"
",",",,PUNCT,None"
ответственным,"ответственный,ADJ,Ins,Pos,Masc,Sing"
за,"за,ADP,None"
поиск,"поиск,NOUN,Inan,Acc,Masc,Sing"
клиентуры,"клиентура,NOUN,Inan,Gen,Fem,Sing"
для,"для,ADP,None"
банка,"банк,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
Как,"как,SCONJ,None"
и,"и,PART,None"
его,"его,DET,None"
предшественники,"предшественник,NOUN,Anim,Nom,Masc,Plur"
король,"король,NOUN,Anim,Nom,Masc,Sing"
Гарсия,"Гарсия,PROPN,Anim,Nom,Masc,Sing"
II,"II,ADJ,Nom,Pos,Masc,Sing"
оказывал,"оказывать,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
покровительство,"покровительство,NOUN,Inan,Acc,Neut,Sing"
христианским,"христианский,ADJ,Dat,Pos,Plur"
церквям,"церковь,NOUN,Inan,Dat,Fem,Plur"
и,"и,CCONJ,None"
монастырям,"монастырь,NOUN,Inan,Dat,Masc,Plur"
",",",,PUNCT,None"
находившимся,"находиться,VERB,Inan,Imp,Dat,Plur,Past,Part,Act"
в,"в,ADP,None"
его,"его,DET,None"
владениях,"владение,NOUN,Inan,Loc,Neut,Plur"
.,".,PUNCT,None"
В,"в,ADP,None"
первой,"первый,ADJ,Loc,Pos,Fem,Sing"
части,"часть,NOUN,Inan,Loc,Fem,Sing"
