cluster,form,data
cluster_28,ни,"ни,PART,Neg"
cluster_29,один,"один,NUM,Anim,Nom,Masc,Sing,Card"
cluster_30,противник,"противник,NOUN,Anim,Nom,Masc,Sing"
cluster_6,в,"в,ADP,None"
cluster_31,игре,"игра,NOUN,Inan,Loc,Fem,Sing"
cluster_6,.,".,PUNCT,None"
cluster_32,Главная,"главный,ADJ,Nom,Pos,Fem,Sing"
cluster_33,пара,"пара,NOUN,Inan,Nom,Fem,Sing"
cluster_34,используется,"использоваться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
cluster_35,весь,"весь,DET,Nom,Masc,Sing"
cluster_36,сезон,"сезон,NOUN,Inan,Acc,Masc,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_37,имеет,"иметь,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
cluster_38,значения,"значение,NOUN,Inan,Gen,Neut,Sing"
cluster_6,1,"1,NUM,None"
cluster_6,:,":,PUNCT,None"
cluster_-1,27454,"27454,NUM,Inan,Nom,Card"
cluster_6,",",",,PUNCT,None"
cluster_6,1,"1,NUM,None"
cluster_6,:,":,PUNCT,None"
cluster_-1,41762,"41762,NUM,Inan,Nom,Masc,Card"
cluster_6,",",",,PUNCT,None"
cluster_6,1,"1,NUM,None"
cluster_6,:,":,PUNCT,None"
cluster_-1,45717,"45717,NUM,Nom,Card"
cluster_6,и,"и,CCONJ,None"
cluster_6,1,"1,NUM,None"
cluster_6,:,":,PUNCT,None"
cluster_-1,42064,"42064,NUM,Inan,Nom,Card"
cluster_6,.,".,PUNCT,None"
cluster_39,Этим,"этот,DET,Ins,Neut,Sing"
cluster_40,же,"же,PART,None"
cluster_41,постановлением,"постановление,NOUN,Inan,Ins,Neut,Sing"
cluster_-1,устанавливалась,"устанавливаться,VERB,Imp,Fem,Ind,Sing,Past,Fin,Mid"
cluster_-1,окружная,"окружной,ADJ,Nom,Pos,Fem,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_-1,районная,"районный,ADJ,Nom,Pos,Fem,Sing"
cluster_42,система,"система,NOUN,Inan,Nom,Fem,Sing"
cluster_43,деления,"деление,NOUN,Inan,Gen,Neut,Sing"
cluster_44,края,"край,NOUN,Inan,Gen,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_45,Позже,"позже,ADV,Cmp"
cluster_46,вышел,"выйти,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_47,имеющий,"иметь,VERB,Inan,Imp,Nom,Masc,Sing,Pres,Part,Act"
cluster_48,силу,"сила,NOUN,Inan,Acc,Fem,Sing"
cluster_49,Закона,"закон,NOUN,Inan,Gen,Masc,Sing"
cluster_-1,Указ,"указ,NOUN,Inan,Nom,Masc,Sing"
cluster_50,Президента,"президент,NOUN,Anim,Gen,Masc,Sing"
cluster_51,Республики,"республика,NOUN,Inan,Gen,Fem,Sing"
cluster_-1,Казахстан,"Казахстан,PROPN,Inan,Nom,Masc,Sing"
cluster_52,от,"от,ADP,None"
cluster_53,15,"15,ADJ,Gen,Pos,Neut,Sing"
cluster_54,сентября,"сентябрь,NOUN,Inan,Gen,Masc,Sing"
cluster_55,1995,"1995,ADJ,Gen,Pos,Masc,Sing"
cluster_6,г,"г,NOUN,Inan,Loc,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_56,Но,"но,CCONJ,None"
cluster_6,в,"в,ADP,None"
cluster_57,1920,"1920,ADJ,Loc,Pos,Masc,Sing"
cluster_58,году,"год,NOUN,Inan,Loc,Masc,Sing"
cluster_18,он,"он,PRON,Nom,Masc,Sing,3"
cluster_59,переехал,"переехать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_0,во,"во,ADP,None"
cluster_60,дворец,"дворец,NOUN,Inan,Acc,Masc,Sing"
cluster_-1,Дорн,"Дорн,PROPN,Inan,Acc,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_61,где,"где,ADV,None"
cluster_62,прожил,"прожить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_63,до,"до,ADP,None"
cluster_64,своей,"свой,DET,Ins,Fem,Sing"
cluster_65,смерти,"смерть,NOUN,Inan,Gen,Fem,Sing"
cluster_6,в,"в,ADP,None"
cluster_66,1941,"1941,ADJ,Gen,Pos,Masc,Sing"
cluster_58,году,"год,NOUN,Inan,Loc,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_-1,Придаток,"придаток,NOUN,Inan,Nom,Masc,Sing"
cluster_6,в,"в,ADP,None"
cluster_67,мужском,"мужской,ADJ,Loc,Pos,Neut,Sing"
cluster_-1,початке,"початок,NOUN,Inan,Loc,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,сидячий,"сидячий,ADJ,Nom,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,загнутый,"загнутый,ADJ,Nom,Pos,Masc,Sing"
cluster_68,или,"или,CCONJ,None"
cluster_-1,закрученный,"закрученный,ADJ,Nom,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,бледно-зелёный,"бледно-зеленый,ADJ,Nom,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_6,в,"в,ADP,None"
cluster_69,основании,"основание,NOUN,Inan,Loc,Neut,Sing"
cluster_-1,узкоцилиндрический,"узкоцилиндрический,ADJ,Nom,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_70,на,"на,ADP,None"
cluster_-1,вершине,"вершина,NOUN,Inan,Loc,Fem,Sing"
cluster_-1,нитевидный,"нитевидный,ADJ,Nom,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_63,до,"до,ADP,None"
cluster_71,20,"20,NUM,Gen,Card"
cluster_72,см,"см,NOUN,Inan,Gen,Masc,Sing"
cluster_73,длиной,"длина,NOUN,Inan,Ins,Fem,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,голый,"голый,ADJ,Nom,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_6,в,"в,ADP,None"
cluster_69,основании,"основание,NOUN,Inan,Loc,Neut,Sing"
cluster_74,около,"около,ADP,None"
cluster_6,3,"3,NUM,Inan,Acc,Card"
cluster_75,мм,"мм,ADJ,Nom,Pos,Neut,Sing"
cluster_6,в,"в,ADP,None"
cluster_76,диаметре,"диаметр,NOUN,Inan,Loc,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_77,Закончил,"закончить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_-1,Харьковский,"харьковский,ADJ,Inan,Acc,Pos,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_6,а,"а,CCONJ,None"
cluster_78,затем,"затем,ADV,Pos"
cluster_6,и,"и,CCONJ,None"
cluster_-1,Петроградский,"петроградский,ADJ,Inan,Acc,Pos,Masc,Sing"
cluster_79,университет,"университет,NOUN,Inan,Acc,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_6,С,"с,ADP,None"
cluster_80,самого,"самый,ADJ,Gen,Pos,Masc,Sing"
cluster_-1,детства,"детство,NOUN,Inan,Gen,Neut,Sing"
cluster_81,Сергей,"Сергей,PROPN,Anim,Nom,Masc,Sing"
cluster_82,отличался,"отличаться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
cluster_-1,разносторонностью,"разносторонность,NOUN,Inan,Ins,Fem,Sing"
cluster_83,интересов,"интерес,NOUN,Inan,Gen,Masc,Plur"
cluster_6,и,"и,CCONJ,None"
cluster_-1,желанием,"желание,NOUN,Inan,Ins,Neut,Sing"
cluster_-1,познавать,"познавать,VERB,Imp,Inf,Act"
cluster_6,и,"и,CCONJ,None"
cluster_-1,учиться,"учиться,VERB,Imp,Inf,Mid"
cluster_6,.,".,PUNCT,None"
cluster_-1,Осада,"осада,NOUN,Inan,Nom,Fem,Sing"
cluster_84,была,"быть,AUX,Imp,Fem,Ind,Sing,Past,Fin"
cluster_-1,снята,"снять,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
cluster_6,",",",,PUNCT,None"
cluster_6,и,"и,CCONJ,None"
cluster_6,",",",,PUNCT,None"
cluster_-1,преследуя,"преследовать,VERB,Imp,Pres,Conv,Act"
cluster_-1,разбежавшегося,"разбежаться,VERB,Anim,Perf,Acc,Masc,Sing,Past,Part,Act"
cluster_-1,неприятеля,"неприятель,NOUN,Anim,Acc,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,Бебутов,"Бебутов,PROPN,Anim,Nom,Masc,Sing"
cluster_85,успел,"успеть,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_-1,захватить,"захватить,VERB,Perf,Inf,Act"
cluster_86,два,"два,NUM,Inan,Nom,Masc,Card"
cluster_87,орудия,"орудие,NOUN,Inan,Gen,Neut,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_86,два,"два,NUM,Inan,Nom,Masc,Card"
cluster_88,знамени,"знамя,NOUN,Inan,Gen,Neut,Sing"
cluster_6,",",",,PUNCT,None"
cluster_78,затем,"затем,ADV,Pos"
cluster_6,",",",,PUNCT,None"
cluster_-1,отрядив,"отрядить,VERB,Perf,Past,Conv,Act"
cluster_6,",",",,PUNCT,None"
cluster_89,против,"против,ADP,None"
cluster_-1,Ахмет,"Ахмет,PROPN,Anim,Gen,Masc,Sing"
cluster_6,-,"-,PUNCT,None"
cluster_-1,бека,"Бек,PROPN,Anim,Gen,Masc,Sing"
cluster_90,генерала,"генерал,NOUN,Anim,Gen,Masc,Sing"
cluster_-1,Бурцева,"Бурцев,PROPN,Anim,Acc,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,нанес,"нанести,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_-1,неприятелю,"неприятель,NOUN,Anim,Dat,Masc,Sing"
cluster_91,30,"30,NUM,Acc,Card"
cluster_92,апреля,"апрель,NOUN,Inan,Gen,Masc,Sing"
cluster_93,полное,"полный,ADJ,Nom,Pos,Neut,Sing"
cluster_94,поражение,"поражение,NOUN,Inan,Acc,Neut,Sing"
cluster_95,при,"при,ADP,None"
cluster_-1,Цурцкабе,"Цурцкаб,PROPN,Inan,Loc,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_6,В,"в,ADP,None"
cluster_96,ходе,"ход,NOUN,Inan,Loc,Masc,Sing"
cluster_97,этого,"этот,DET,Gen,Masc,Sing"
cluster_-1,обширного,"обширный,ADJ,Gen,Pos,Neut,Sing"
cluster_-1,наступления,"наступление,NOUN,Inan,Gen,Neut,Sing"
cluster_84,была,"быть,AUX,Imp,Fem,Ind,Sing,Past,Fin"
cluster_-1,освобождена,"освободить,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
cluster_98,территория,"территория,NOUN,Inan,Nom,Fem,Sing"
cluster_99,Белоруссии,"Белоруссия,PROPN,Inan,Loc,Fem,Sing"
cluster_6,",",",,PUNCT,None"
cluster_100,восточной,"восточный,ADJ,Loc,Pos,Fem,Sing"
cluster_101,Польши,"Польша,PROPN,Inan,Gen,Fem,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_102,часть,"часть,NOUN,Inan,Nom,Fem,Sing"
cluster_-1,Прибалтики,"Прибалтика,PROPN,Inan,Gen,Fem,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_103,практически,"практически,ADV,Pos"
cluster_104,полностью,"полностью,ADV,Pos"
cluster_-1,разгромлена,"разгромить,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
cluster_-1,германская,"германский,ADJ,Nom,Pos,Fem,Sing"
cluster_105,группа,"группа,NOUN,Inan,Nom,Fem,Sing"
cluster_-1,армий,"армия,NOUN,Inan,Gen,Fem,Plur"
cluster_6,``,"``,PUNCT,None"
cluster_106,Центр,"центр,NOUN,Inan,Nom,Masc,Sing"
cluster_107,&#39;&#39;,"&#39;&#39;,PUNCT,None"
cluster_6,.,".,PUNCT,None"
cluster_108,Член,"член,NOUN,Anim,Nom,Masc,Sing"
cluster_109,Русского,"русский,ADJ,Gen,Pos,Neut,Sing"
cluster_-1,ПЕН,"ПЕН,PROPN,Anim,Gen,Masc,Sing"
cluster_6,-,"-,PUNCT,None"
cluster_110,центра,"центр,NOUN,Inan,Gen,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_111,Название,"название,NOUN,Inan,Nom,Neut,Sing"
cluster_112,дано,"дать,VERB,Inan,Perf,Nom,Neut,Sing,Past,Short,Part,Pass"
cluster_-1,европейцами,"европеец,NOUN,Anim,Ins,Masc,Plur"
cluster_-1,ближайшему,"ближайший,ADJ,Dat,Pos,Masc,Sing"
cluster_6,к,"к,ADP,None"
cluster_113,ним,"он,PRON,Ins,Masc,Sing,3"
cluster_114,восточному,"восточный,ADJ,Dat,Pos,Masc,Sing"
cluster_-1,региону,"регион,NOUN,Inan,Dat,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_6,С,"с,ADP,None"
cluster_115,1986,"1986,ADJ,Nom,Pos,Masc,Sing"
cluster_116,года,"год,NOUN,Inan,Gen,Masc,Sing"
cluster_117,эсминец,"эсминец,NOUN,Inan,Nom,Masc,Sing"
cluster_6,``,"``,PUNCT,None"
cluster_118,Боевой,"боевой,ADJ,Nom,Pos,Masc,Sing"
cluster_107,&#39;&#39;,"&#39;&#39;,PUNCT,None"
cluster_119,был,"быть,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
cluster_120,включён,"включить,VERB,Anim,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
cluster_6,в,"в,ADP,None"
cluster_121,состав,"состав,NOUN,Inan,Acc,Masc,Sing"
cluster_-1,175-ой,"175-ый,ADJ,Gen,Pos,Fem,Sing"
cluster_122,бригады,"бригада,NOUN,Inan,Gen,Fem,Sing"
cluster_-1,ракетных,"ракетный,ADJ,Gen,Pos,Plur"
cluster_123,кораблей,"корабль,NOUN,Inan,Dat,Masc,Plur"
cluster_-1,10-ой,"10-ый,ADJ,Gen,Pos,Fem,Sing"
cluster_-1,опэск,"опэск,NOUN,Inan,Gen,Fem,Sing"
cluster_6,(,"(,PUNCT,None"
cluster_124,оперативной,"оперативный,ADJ,Dat,Pos,Fem,Sing"
cluster_125,эскадры,"эскадра,NOUN,Inan,Gen,Fem,Sing"
cluster_6,),"),PUNCT,None"
cluster_-1,Тихоокеанского,"тихоокеанский,ADJ,Gen,Pos,Masc,Sing"
cluster_126,флота,"флот,NOUN,Inan,Gen,Masc,Sing"
cluster_127,ВМФ,"ВМФ,PROPN,Inan,Gen,Masc,Sing"
cluster_128,СССР,"СССР,PROPN,Inan,Gen,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_129,22,"22,NUM,Inan,Loc,Masc,Card"
cluster_130,июня,"июнь,NOUN,Inan,Gen,Masc,Sing"
cluster_131,1987,"1987,ADJ,Loc,Pos,Masc,Sing"
cluster_116,года,"год,NOUN,Inan,Gen,Masc,Sing"
cluster_132,корабль,"корабль,NOUN,Inan,Nom,Masc,Sing"
cluster_133,начал,"начать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_134,переход,"переход,NOUN,Inan,Nom,Masc,Sing"
cluster_70,на,"на,ADP,None"
cluster_-1,Тихоокеанский,"тихоокеанский,ADJ,Inan,Acc,Pos,Masc,Sing"
cluster_135,флот,"флот,NOUN,Inan,Nom,Masc,Sing"
cluster_6,с,"с,ADP,None"
cluster_-1,несением,"несение,NOUN,Inan,Ins,Neut,Sing"
cluster_118,боевой,"боевой,ADJ,Dat,Pos,Fem,Sing"
cluster_136,службы,"служба,NOUN,Inan,Gen,Fem,Sing"
cluster_6,в,"в,ADP,None"
cluster_137,Персидском,"персидский,ADJ,Loc,Pos,Masc,Sing"
cluster_138,заливе,"залив,NOUN,Inan,Loc,Masc,Sing"
cluster_6,(,"(,PUNCT,None"
cluster_139,провёл,"провести,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_129,22,"22,NUM,Inan,Loc,Masc,Card"
cluster_140,судна,"судно,NOUN,Inan,Gen,Neut,Sing"
cluster_6,в,"в,ADP,None"
cluster_141,16,"16,NUM,Gen,Card"
cluster_-1,конвоях,"конвой,NOUN,Inan,Loc,Masc,Plur"
cluster_6,),"),PUNCT,None"
cluster_6,.,".,PUNCT,None"
cluster_142,Отличился,"отличиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
cluster_0,во,"во,ADP,None"
cluster_1,время,"время,NOUN,Inan,Acc,Neut,Sing"
cluster_143,освобождения,"освобождение,NOUN,Inan,Gen,Neut,Sing"
cluster_-1,Белорусской,"белорусский,ADJ,Gen,Pos,Fem,Sing"
cluster_144,ССР,"ССР,PROPN,Inan,Gen,Fem,Plur"
cluster_6,.,".,PUNCT,None"
cluster_6,С,"с,ADP,None"
cluster_145,начала,"начало,NOUN,Inan,Gen,Neut,Sing"
cluster_146,Великой,"великий,ADJ,Gen,Pos,Fem,Sing"
cluster_147,Отечественной,"отечественный,ADJ,Gen,Pos,Fem,Sing"
cluster_148,войны,"война,NOUN,Inan,Gen,Fem,Sing"
cluster_6,--,"--,PUNCT,None"
cluster_70,на,"на,ADP,None"
cluster_149,её,"ее,DET,None"
cluster_150,фронтах,"фронт,NOUN,Inan,Loc,Masc,Plur"
cluster_6,.,".,PUNCT,None"
cluster_151,Расположена,"расположить,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
cluster_6,в,"в,ADP,None"
cluster_152,центральной,"центральный,ADJ,Loc,Pos,Fem,Sing"
cluster_153,части,"часть,NOUN,Inan,Gen,Fem,Sing"
cluster_154,области,"область,NOUN,Inan,Gen,Fem,Sing"
cluster_6,в,"в,ADP,None"
cluster_6,5,"5,NUM,Nom,Card"
cluster_155,км,"км,NOUN,Inan,Loc,Masc,Plur"
cluster_6,к,"к,ADP,None"
cluster_156,юго-востоку,"юго-восток,NOUN,Inan,Dat,Masc,Sing"
cluster_52,от,"от,ADP,None"
cluster_-1,Ярцева,"Ярцево,PROPN,Inan,Gen,Neut,Sing"
cluster_6,",",",,PUNCT,None"
cluster_6,в,"в,ADP,None"
cluster_6,5,"5,NUM,Nom,Card"
cluster_155,км,"км,NOUN,Inan,Loc,Masc,Plur"
cluster_157,южнее,"южнее,ADP,None"
cluster_158,автодороги,"автодорога,NOUN,Inan,Gen,Fem,Sing"
cluster_6,",",",,PUNCT,None"
cluster_70,на,"на,ADP,None"
cluster_159,берегу,"берег,NOUN,Inan,Dat,Masc,Sing"
cluster_160,реки,"река,NOUN,Inan,Gen,Fem,Sing"
cluster_161,Великая,"великий,ADJ,Nom,Pos,Fem,Sing"
cluster_6,.,".,PUNCT,None"
cluster_-1,Фрэ́нсис,"Фрэнсис,PROPN,Anim,Nom,Fem,Sing"
cluster_-1,Бэй,"Бэй,PROPN,Anim,Nom,Fem,Sing"
cluster_6,(,"(,PUNCT,None"
cluster_6,),"),PUNCT,None"
cluster_6,",",",,PUNCT,None"
cluster_6,в,"в,ADP,None"
cluster_-1,девичестве,"девичество,NOUN,Inan,Loc,Neut,Sing"
cluster_6,--,"--,PUNCT,None"
cluster_-1,Го́ффман,"Гоффман,PROPN,Anim,Nom,Fem,Sing"
cluster_6,(,"(,PUNCT,None"
cluster_6,;,";,PUNCT,None"
cluster_162,23,"23,ADJ,Gen,Pos,Neut,Sing"
cluster_163,января,"январь,NOUN,Inan,Gen,Masc,Sing"
cluster_164,1919,"1919,ADJ,Gen,Pos,Masc,Sing"
cluster_6,``,"``,PUNCT,None"
cluster_-1,Альберта,"Альберта,PROPN,Inan,Nom,Fem,Sing"
cluster_6,",",",,PUNCT,None"
cluster_-1,Канада,"Канада,PROPN,Inan,Nom,Fem,Sing"
cluster_6,--,"--,PUNCT,None"
cluster_53,15,"15,ADJ,Gen,Pos,Neut,Sing"
cluster_54,сентября,"сентябрь,NOUN,Inan,Gen,Masc,Sing"
cluster_165,2011,"2011,ADJ,Gen,Pos,Masc,Sing"
cluster_6,``,"``,PUNCT,None"
cluster_166,Лос-Анджелес,"Лос-Анджелес,PROPN,Inan,Nom,Masc,Sing"
cluster_6,",",",,PUNCT,None"
cluster_167,Калифорния,"Калифорния,PROPN,Inan,Nom,Fem,Sing"
cluster_6,",",",,PUNCT,None"
cluster_168,США,"США,PROPN,Inan,Gen,Masc,Plur"
cluster_6,),"),PUNCT,None"
cluster_6,--,"--,PUNCT,None"
cluster_-1,канадо-американская,"канадо-американский,ADJ,Nom,Pos,Fem,Sing"
cluster_169,актриса,"актриса,NOUN,Anim,Nom,Fem,Sing"
cluster_6,.,".,PUNCT,None"
cluster_-1,Вартислав,"Вартислав,PROPN,Anim,Nom,Masc,Sing"
cluster_119,был,"быть,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
cluster_170,убит,"убить,VERB,Anim,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
cluster_3,между,"между,ADP,None"
cluster_-1,1135,"1135,ADJ,Ins,Pos,Masc,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_171,1148,"1148,ADJ,Loc,Pos,Masc,Sing"
cluster_-1,годами,"год,NOUN,Inan,Ins,Masc,Plur"
cluster_6,",",",,PUNCT,None"
cluster_172,ему,"он,PRON,Dat,Masc,Sing,3"
cluster_173,наследовал,"наследовать,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
cluster_174,брат,"брат,NOUN,Anim,Nom,Masc,Sing"
cluster_-1,Ратибор,"Ратибор,PROPN,Anim,Nom,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_6,``,"``,PUNCT,None"
cluster_175,Венера,"Венера,PROPN,Anim,Nom,Fem,Sing"
cluster_6,-,"-,PUNCT,None"
cluster_6,6,"6,NUM,Acc,Card"
cluster_107,&#39;&#39;,"&#39;&#39;,PUNCT,None"
cluster_6,--,"--,PUNCT,None"
cluster_176,советская,"советский,ADJ,Nom,Pos,Fem,Sing"
cluster_-1,автоматическая,"автоматический,ADJ,Nom,Pos,Fem,Sing"
cluster_-1,научно-исследовательская,"научно-исследовательский,ADJ,Nom,Pos,Fem,Sing"
cluster_-1,космическая,"космический,ADJ,Nom,Pos,Fem,Sing"
cluster_177,станция,"станция,NOUN,Inan,Nom,Fem,Sing"
cluster_6,.,".,PUNCT,None"
cluster_178,Фридрих,"Фридрих,PROPN,Anim,Nom,Masc,Sing"
cluster_119,был,"быть,VERB,Imp,Masc,Ind,Sing,Past,Fin,Act"
cluster_179,сыном,"сын,NOUN,Anim,Ins,Masc,Sing"
cluster_-1,прусского,"прусский,ADJ,Gen,Pos,Masc,Sing"
cluster_-1,кронпринца,"кронпринц,NOUN,Anim,Gen,Masc,Sing"
cluster_180,Вильгельма,"Вильгельм,PROPN,Anim,Acc,Masc,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_181,его,"его,DET,None"
cluster_182,супруги,"супруга,NOUN,Anim,Nom,Fem,Plur"
cluster_-1,Августы,"Августа,PROPN,Anim,Gen,Fem,Sing"
cluster_-1,Саксен,"Саксен,PROPN,Anim,Gen,Fem,Sing"
cluster_6,-,"-,PUNCT,None"
cluster_-1,Веймарской,"веймарский,ADJ,Gen,Pos,Fem,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_183,являлся,"являться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
cluster_184,вторым,"второй,ADJ,Ins,Pos,Masc,Sing"
cluster_6,в,"в,ADP,None"
cluster_185,линии,"линия,NOUN,Inan,Acc,Fem,Plur"
cluster_186,наследования,"наследование,NOUN,Inan,Gen,Neut,Sing"
cluster_-1,трона,"трон,NOUN,Inan,Gen,Masc,Sing"
cluster_187,Пруссии,"Пруссия,PROPN,Inan,Gen,Fem,Sing"
cluster_188,вслед,"вслед,ADV,Pos"
cluster_189,за,"за,ADP,None"
cluster_190,отцом,"отец,NOUN,Anim,Ins,Masc,Sing"
cluster_6,.,".,PUNCT,None"
cluster_191,После,"после,ADP,None"
cluster_-1,свержения,"свержение,NOUN,Inan,Gen,Neut,Sing"
cluster_0,во,"во,ADP,None"
cluster_192,Франции,"Франция,PROPN,Inan,Loc,Fem,Sing"
cluster_193,правительства,"правительство,NOUN,Inan,Gen,Neut,Sing"
cluster_-1,Виши,"Виши,PROPN,Inan,Gen,Masc,Sing"
cluster_-1,ношение,"ношение,NOUN,Inan,Nom,Neut,Sing"
cluster_97,этого,"этот,DET,Gen,Masc,Sing"
cluster_194,Военного,"военный,ADJ,Gen,Pos,Masc,Sing"
cluster_195,креста,"крест,NOUN,Inan,Gen,Masc,Sing"
cluster_196,было,"быть,AUX,Imp,Neut,Ind,Sing,Past,Fin"
cluster_-1,запрещено,"запретить,VERB,Inan,Perf,Nom,Neut,Sing,Past,Short,Part,Pass"
cluster_6,(,"(,PUNCT,None"
cluster_6,с,"с,ADP,None"
